"2_VELOCITY","A3_VELOCITY"
0.171,0.432
0.242,0.341
0.171,0.432
0.171,0.61
0.242,0.682
0,0.432
0.171,1.221
0.171,0.61
0.343,0.305
0.542,0.305
0,0
0.171,0
6.592,0.432
6.525,0.61
6.859,0.432
4.335,0.305
3.414,0.61
3.631,0.432
0.383,0.305
0,0
0.171,0.305
0.171,0.305
0.171,1.1
0.171,0.432
0.171,0.432
0.242,0.682
0.171,0.305
4.033,0.305
0.727,0.305
2.006,0.305
1.626,0.682
1.305,1.643
3.566,1.556
0.171,1.643
0.242,3.979
2.423,3.112
3.599,1.831
2.913,1.221
4.508,0.61
0.242,0
2.056,0
1.042,0
4.116,0.61
0.766,0.305
1.042,0.305
3.089,0.305
0.171,0.61
0.383,0
3.327,0.305
0,0.432
0.171,0.305
0.171,0.432
0.242,0.305
0.171,0.305
1.998,1.831
2.169,1.556
2.299,1.856
2.747,0.682
0.171,0.682
1.382,0.682
0.171,0.305
2.423,0.305
0,0.305
0,0.61
3.292,0.61
3.256,0
0.242,0
0.542,0.916
1.789,1.831
3.051,0.305
2.61,0
7.988,0
2.79,0.61
1.748,1.831
0.242,0.305
1.248,0
2.826,0.682
2.286,0.305
0.685,0.916
3.292,1.221
1.212,0.682
3.427,0.916
2.037,0.965
0.707,1.526
8.054,1.831
3.103,1.221
1.212,1.831
0.171,1.258
0.171,0.682
0.242,0.305
1.58,0.305
1.042,0.305
0.343,0.432
7.197,0.916
2.063,3.052
0.514,1.221
0.874,3.412
0.242,2.46
5.526,1.526
1.925,0.916
0.874,1.526
2.958,2.158
1.916,1.221
0.171,0.916
1.846,0.61
0.542,1.831
1.338,1.258
0.171,2.158
1.617,1.526
0.542,1.258
0.766,1.831
1.15,0.682
3.47,1.856
0.171,1.221
0.171,0.682
0.171,0.61
0.242,0.965
0.242,0.432
5.243,0.007
1.696,0.409
2.381,0.014
2.423,0.003
4.116,0.002
1.382,0.432
1.028,0.682
6.403,0
4.996,0.432
0.353,0
4.598,0.305
3.201,0.863
2.61,0.432
0,0.432
5.582,0.965
5.637,0.305
8.925,0.965
0.171,0.305
0.242,0.305
0.383,0.305
0.383,0.305
1.626,0
1.626,1.526
0,0.432
0.171,0.305
2.61,1.831
8.925,3.067
2.228,2.136
2.157,2.46
3.084,1.221
3.956,2.763
5.186,1.556
6.209,1.258
0.874,1.526
0.874,0.305
0.514,1.526
2.12,1.856
2.1,0.682
4.826,0.682
3.274,0.916
0.383,1.556
4.981,0.682
0,0.432
3.635,1.526
1.028,0.305
0.766,0.61
0.685,0.863
0.514,0.965
0.685,1.221
6.375,1.258
5.381,0.682
1.248,0.432
0.923,0.305
0.685,0.682
0.171,0.61
1.954,1.556
4.78,0.682
0,0.305
0,0.682
0,1.373
0.171,1.258
0.383,0.682
0.343,1.526
0.171,0.305
0.171,0
0,2.047
0,0.61
0,0
0,0.305
0.171,0.61
0.171,0.305
2.616,0.305
1.822,0.305
0,0
2.387,0.305
3.578,0.61
0.542,0.305
0,0
0.171,0.682
0.171,0.432
0.171,0.305
0.171,0.682
0,3.067
0.171,1.221
0.171,2.747
1.2,1.556
0.171,1.831
0,0
0.383,0.305
0.242,0.61
0.542,1.221
4.85,2.441
0.343,1.258
2.918,1.221
2.593,0.305
3.051,0
0.171,1.258
0.242,0.916
0.171,0.682
0.242,0.432
0.874,0.305
1.382,0.305
2.12,0
4.127,0.432
0.171,0.432
0.171,0.305
0,2.047
0.171,1.258
0.242,1.556
0.171,0.61
0.171,0.682
0.171,0.682
0.242,2.222
0.171,3.412
0,2.222
0.171,2.158
0.171,2.46
0,0.122
0.171,0.01
4.169,1.984
4.369,2.158
0.171,0
0,1.258
0,4.283
0.242,2.158
0.171,3.067
0.242,0.61
0.857,0.1
1.916,0.075
1.212,3.412
7.434,2.158
6.19,4.588
5.995,4.588
3.233,3.775
5.063,1.526
1.338,1.221
2.071,1.831
1.954,2.763
4.752,2.814
0.171,1.258
0.242,0.305
2.913,0.305
1.748,0.305
2.547,0.305
1.766,0.305
3.566,3.357
0.171,1.221
0.383,1.221
1.846,0
1.764,4.892
0.171,5.268
0.171,3.675
3.296,2.46
3.296,2.814
3.296,1.93
0,2.747
3.22,3.824
3.089,2.763
2.399,5.502
2.576,2.46
2.331,3.371
0.857,6.104
0.542,3.067
0.514,6.111
0.343,2.158
0.685,0.916
3.774,2.158
2.234,2.158
4.469,0.305
2.405,0.61
2.747,0.305
7.548,0
2.234,0.61
0.343,1.221
0.171,0.305
0.171,0.965
0,0.305
1.885,0.305
1.382,0.432
0.343,0.965
3.743,0.965
3.793,0.965
0.242,6.416
0,0.025
0,0.028
4.173,2.763
4.392,3.357
6.548,6.111
3.146,4.316
4.715,1.643
3.529,5.224
1.916,0.965
0.707,5.502
7.274,4.014
3.256,2.814
0.857,0.916
0.171,6.224
2.234,5.925
1.236,11.308
4.392,6.742
3.785,10.536
2.12,2.136
1.248,4.014
7.755,1.556
6.762,2.441
4.287,3.572
4.798,1.068
5.454,4.072
0.707,2.46
0.171,1.856
0.171,0.003
0.171,0.002
0.171,2.158
0.171,6.776
0.171,2.46
0,0.432
0.242,1.856
0.242,4.272
0,1.954
0.171,0.965
0,2.158
0.171,1.526
6.181,3.775
0.242,3.052
0.242,2.747
6.305,2.747
0.171,4.921
0.242,1.856
0.857,2.517
1.58,0.432
0.874,0
1.722,0.432
5.367,0.61
1.338,0
0.969,0
0.383,1.365
0.242,1.556
0.685,1.643
4.145,2.441
1.954,2.136
8.383,1.831
1.248,4.578
2.331,2.46
2.435,1.779
1.15,0.005
0.171,0.006
0.707,1.93
4.553,1.726
3.375,1.258
7.698,0.305
3.975,0.682
3.785,0.432
2.423,0
3.327,0.432
6.453,0
2.387,0
1.688,0.305
1.15,1.556
2.331,0.007
0.514,0.002
0.171,0.002
0.707,0.002
0.542,1.295
0.685,0.432
3.036,1.856
2.299,0.682
1.212,0.305
3.233,0.305
1.474,0
0.242,0.305
5.135,0.916
4.981,0
1.382,0.305
0.171,0
3.401,0.305
1.916,0.432
1.748,0
5.696,0.965
2.181,1.1
3.449,0.682
1.042,0.432
2.234,0.916
1.248,0.61
1.854,0.916
1.722,0.916
3.201,0.61
5.603,0.432
3.956,0
1.542,0.432
1.042,0.432
0.383,0.305
2.234,0.965
5.486,0.965
1.552,0.305
1.382,0.916
0.857,0.61
1.248,0.305
1.236,1.526
1.212,0
0.171,0.305
2.435,0.305
2.948,0.916
0.171,0.305
0.171,0.432
2.387,0.61
1.413,2.136
0.171,1.556
0.685,0.916
0.242,2.895
0.874,0.005
0.171,0.004
0.999,1.221
0.707,2.46
2.453,1.856
0.383,1.856
0.542,1.831
0.542,2.136
0.383,3.371
0.343,3.052
0.171,3.357
0.874,1.678
1.042,2.763
0.343,4.578
0.171,11.308
0.242,0.965
0.242,1.373
0.514,2.222
0.343,0.007
0.242,0.003
1.382,4.968
1.395,5.627
2.085,0.305
2.57,1.831
0,3.357
0,NA
0,NA
3.603,NA
0.542,NA
0,NA
0.171,NA
0.171,NA
0.171,NA
0.618,NA
0.542,NA
0.542,NA
0.171,NA
0.514,NA
0.343,NA
0,NA
0,NA
0,NA
0.685,NA
0.514,NA
0.618,NA
0.343,NA
0.343,NA
3.089,NA
8.482,NA
1.236,NA
0.242,NA
0.171,NA
2.763,NA
4.141,NA
2.072,NA
0,NA
0.343,NA
0.121,NA
3.516,NA
3.643,NA
0.171,NA
6.361,NA
3.533,NA
6.525,NA
7.481,NA
2.57,NA
1.696,NA
1.042,NA
6.503,NA
6.744,NA
6.592,NA
6.592,NA
0.343,NA
0.171,NA
0,NA
7.36,NA
0.171,NA
7.988,NA
0.618,NA
0.242,NA
0,NA
3.38,NA
4.406,NA
1.846,NA
0.171,NA
0.343,NA
1.212,NA
0.874,NA
0.383,NA
0.618,NA
3.956,NA
1.925,NA
0,NA
0.171,NA
0.343,NA
0.242,NA
0.171,NA
0.857,NA
1.552,NA
1.114,NA
1.626,NA
2.918,NA
8.346,NA
1.382,NA
0.086,NA
0.383,NA
0.343,NA
0.542,NA
0.766,NA
1.15,NA
1.382,NA
0.874,NA
0.343,NA
0.691,NA
3.065,NA
1.464,NA
0.171,NA
0.242,NA
0.383,NA
0.242,NA
0.383,NA
0.343,NA
8.404,NA
9.084,NA
8.083,NA
5.089,NA
3.296,NA
2.677,NA
2.423,NA
2.405,NA
0,NA
8.496,NA
0.242,NA
2.438,NA
4.614,NA
0.242,NA
0.343,NA
2.53,NA
0.618,NA
1.552,NA
1.552,NA
1.042,NA
0.171,NA
0.618,NA
0.923,NA
0.242,NA
1.464,NA
1.714,NA
1.58,NA
1.916,NA
2.423,NA
7.4,NA
1.58,NA
3.257,NA
3.663,NA
4.169,NA
4.392,NA
2.254,NA
3.089,NA
8.362,NA
0,NA
5.443,NA
5.443,NA
6.284,NA
5.748,NA
0.923,NA
2.593,NA
6.143,NA
5.948,NA
4.369,NA
0.343,NA
3.516,NA
0.343,NA
0.171,NA
4.256,NA
4.243,NA
4.727,NA
4.801,NA
4.379,NA
0.707,NA
1.533,NA
0.685,NA
3.036,NA
0.343,NA
0,NA
0.343,NA
0.766,NA
0,NA
0.171,NA
3.127,NA
0.542,NA
0.485,NA
1.714,NA
4.369,NA
2.837,NA
0.969,NA
0.383,NA
1.097,NA
2.826,NA
0.171,NA
0.242,NA
3.793,NA
4.469,NA
4.422,NA
0.383,NA
3.774,NA
0.171,NA
0.542,NA
0.383,NA
0.171,NA
4.088,NA
0.171,NA
0.171,NA
0,NA
0.171,NA
0.171,NA
0,NA
0.171,NA
3.956,NA
0.542,NA
0.171,NA
0.383,NA
3.533,NA
0.383,NA
3.146,NA
2.852,NA
0,NA
2.063,NA
2.092,NA
2.993,NA
0.514,NA
0,NA
0.343,NA
0.514,NA
3.309,NA
0.242,NA
2.52,NA
0.171,NA
0.383,NA
5.652,NA
0.542,NA
8.143,NA
5.836,NA
5.603,NA
7.759,NA
3.466,NA
8.355,NA
1.846,NA
2.006,NA
1.382,NA
1.626,NA
2.12,NA
2.958,NA
3.103,NA
0.5,NA
4.243,NA
1.084,NA
5.279,NA
0.343,NA
3.414,NA
5.657,NA
2.228,NA
1.212,NA
2.593,NA
0.383,NA
3.296,NA
2.576,NA
3.431,NA
3.599,NA
0.727,NA
5.186,NA
5.166,NA
0.857,NA
4.284,NA
3.533,NA
8.485,NA
0.857,NA
1.042,NA
5.337,NA
4.284,NA
0.542,NA
0.857,NA
0.776,NA
1.042,NA
0.343,NA
2.121,NA
3.309,NA
6.178,NA
6.152,NA
1.454,NA
0.343,NA
3.103,NA
1.042,NA
3.522,NA
0.857,NA
1.042,NA
0.171,NA
1.748,NA
2.142,NA
3.327,NA
0.383,NA
0.343,NA
0,NA
0.343,NA
0.343,NA
0.242,NA
0,NA
0.171,NA
0.086,NA
0.383,NA
0.242,NA
0,NA
0.171,NA
0,NA
0.343,NA
0.171,NA
0.343,NA
0,NA
0,NA
2.286,NA
0,NA
0.171,NA
0.542,NA
0.383,NA
0.383,NA
0.343,NA
1.382,NA
0.514,NA
0.383,NA
0.383,NA
0.242,NA
0,NA
0,NA
0.171,NA
0,NA
0,NA
0.171,NA
3.089,NA
0.514,NA
1.084,NA
1.084,NA
0.242,NA
0.171,NA
0.171,NA
0,NA
0.343,NA
1.552,NA
0.485,NA
7.673,NA
0.383,NA
0.343,NA
0.343,NA
0.171,NA
3.47,NA
0.857,NA
0.857,NA
5.144,NA
4.996,NA
6.027,NA
3.16,NA
0.242,NA
0.343,NA
3.89,NA
3.146,NA
5.186,NA
3.615,NA
4.042,NA
2.576,NA
5.494,NA
1.552,NA
3.603,NA
5.896,NA
2.331,NA
4.455,NA
1.371,NA
3.103,NA
1.916,NA
1.15,NA
0.242,NA
0.707,NA
1.028,NA
0.383,NA
0.766,NA
0.383,NA
0.343,NA
1.042,NA
2.147,NA
0.171,NA
4.062,NA
0.171,NA
4.598,NA
0.857,NA
2.57,NA
4.715,NA
3.401,NA
6.305,NA
0.383,NA
6.703,NA
4.113,NA
1.626,NA
0.618,NA
5.595,NA
0.171,NA
0.383,NA
0.999,NA
1.714,NA
2.234,NA
0.514,NA
2.399,NA
0.857,NA
0.857,NA
1.212,NA
2.085,NA
1.748,NA
2.763,NA
2.747,NA
3.603,NA
0.707,NA
6.738,NA
6.592,NA
0.242,NA
0.383,NA
0.343,NA
0.383,NA
0.343,NA
0.618,NA
0.171,NA
0,NA
0.242,NA
1.542,NA
0.171,NA
1.722,NA
2.063,NA
0.383,NA
0.383,NA
0.343,NA
2.913,NA
0.727,NA
2.254,NA
1.2,NA
1.542,NA
1.028,NA
2.576,NA
2.405,NA
7.127,NA
2.677,NA
0.171,NA
0,NA
0.242,NA
0.171,NA
0,NA
0.343,NA
0.542,NA
0.542,NA
0.242,NA
6.514,NA
4.677,NA
0.542,NA
1.097,NA
0.485,NA
0.618,NA
0.383,NA
1.846,NA
0.343,NA
1.305,NA
2.576,NA
3.851,NA
3.084,NA
2.331,NA
1.413,NA
1.371,NA
0.707,NA
0,NA
0,NA
0.514,NA
1.594,NA
0.242,NA
0.242,NA
0.874,NA
0.707,NA
1.552,NA
1.042,NA
3.292,NA
2.621,NA
3.707,NA
4.996,NA
7.642,NA
3.431,NA
2.405,NA
2.234,NA
3.762,NA
6.615,NA
2.353,NA
0.766,NA
3.691,NA
2.593,NA
0.171,NA
0,NA
0.171,NA
1.382,NA
3.495,NA
4.74,NA
3.774,NA
3.975,NA
9.174,NA
2.913,NA
4.604,NA
3.805,NA
4.116,NA
6.762,NA
2.071,NA
2.547,NA
1.822,NA
0.542,NA
2.547,NA
4.449,NA
5.112,NA
7.586,NA
4.219,NA
6.432,NA
0.171,NA
0.171,NA
0,NA
5.948,NA
3.603,NA
0.766,NA
0.171,NA
0.685,NA
1.382,NA
3.785,NA
4.298,NA
2.623,NA
2.254,NA
1.042,NA
1.454,NA
3.691,NA
2.194,NA
4.184,NA
2.234,NA
1.042,NA
0.171,NA
4.369,NA
4.74,NA
5.411,NA
0,NA
0.171,NA
0,NA
3.393,NA
3.516,NA
0,NA
0.242,NA
0.242,NA
0.999,NA
8.528,NA
8.143,NA
6.361,NA
6.561,NA
0.171,NA
0.171,NA
6.228,NA
2.286,NA
2.194,NA
1.933,NA
5.916,NA
8.163,NA
1.748,NA
4.627,NA
0.171,NA
0.343,NA
1.552,NA
6.178,NA
3.539,NA
1.084,NA
1.885,NA
2.228,NA
1.413,NA
0.343,NA
0.618,NA
0.171,NA
4.127,NA
2.063,NA
2.399,NA
1.722,NA
1.382,NA
1.212,NA
1.885,NA
1.722,NA
2.056,NA
1.212,NA
1.371,NA
1.479,NA
2.547,NA
2.811,NA
0,NA
0.343,NA
0,NA
0.514,NA
0.383,NA
0.242,NA
0.707,NA
0.485,NA
0.485,NA
0.383,NA
0.171,NA
0.999,NA
0.857,NA
2.234,NA
2.058,NA
6.02,NA
2.056,NA
1.893,NA
1.916,NA
2.495,NA
2.998,NA
1.382,NA
0.685,NA
2.006,NA
1.722,NA
2.405,NA
2.12,NA
2.423,NA
0.685,NA
0.685,NA
8.459,NA
0.121,NA
0.343,NA
2.958,NA
7.929,NA
0.383,NA
0.242,NA
0,NA
5.582,NA
4.981,NA
3.767,NA
3.615,NA
2.742,NA
0.514,NA
1.885,NA
3.127,NA
2.742,NA
0.383,NA
2.234,NA
1.533,NA
1.714,NA
0.857,NA
0.514,NA
1.084,NA
2.234,NA
1.084,NA
0.171,NA
0.383,NA
0.618,NA
0.242,NA
0,NA
2.677,NA
4.91,NA
2.268,NA
0.383,NA
0.383,NA
0.343,NA
0.343,NA
0.343,NA
0.171,NA
0.242,NA
3.327,NA
2.993,NA
1.305,NA
0.171,NA
0.542,NA
2.331,NA
0.086,NA
0.242,NA
2.299,NA
2.387,NA
0.171,NA
2.763,NA
0.121,NA
0.242,NA
1.58,NA
0,NA
0.171,NA
0.171,NA
0,NA
0.171,NA
0.685,NA
0,NA
0.242,NA
0,NA
0,NA
0.171,NA
0.171,NA
0,NA
6.703,NA
1.236,NA
5.696,NA
3.309,NA
0,NA
0.242,NA
0.242,NA
0.242,NA
0.727,NA
0.485,NA
0.242,NA
0,NA
0.171,NA
0.171,NA
0,NA
0,NA
0.242,NA
0.171,NA
0.171,NA
0.171,NA
0,NA
0,NA
0.171,NA
0.171,NA
0.171,NA
0.171,NA
0,NA
0.171,NA
0,NA
0.171,NA
0.171,NA
0.171,NA
0.242,NA
0.383,NA
0.242,NA
0.343,NA
0.343,NA
0.242,NA
0.485,NA
0.242,NA
0.171,NA
0,NA
0,NA
0,NA
0.171,NA
0.171,NA
0.242,NA
0.242,NA
0.242,NA
0,NA
0,NA
1.042,NA
0.79,NA
7.557,NA
7.4,NA
1.212,NA
0,NA
1.028,NA
8.978,NA
4.294,NA
3.603,NA
4.63,NA
5.494,NA
3.127,NA
5.186,NA
5.166,NA
3.89,NA
6.487,NA
1.382,NA
3.26,NA
1.097,NA
2.254,NA
0.857,NA
0.514,NA
0.383,NA
0.383,NA
0.383,NA
0.383,NA
2.576,NA
2.399,NA
3.103,NA
2.453,NA
0.242,NA
2.473,NA
2.234,NA
1.916,NA
7.101,NA
2.228,NA
0,NA
0,NA
0.685,NA
1.371,NA
0.874,NA
0.383,NA
7.929,NA
3.615,NA
0.242,NA
2.57,NA
3.975,NA
1.933,NA
1.714,NA
2.071,NA
5.367,NA
2.405,NA
0.923,NA
0.086,NA
3.631,NA
2.913,NA
0.171,NA
2.79,NA
2.79,NA
4.826,NA
5.356,NA
0.618,NA
0.383,NA
0.242,NA
0.171,NA
0.343,NA
0.514,NA
0.242,NA
0.242,NA
0.171,NA
0,NA
0.171,NA
0.171,NA
0,NA
0.542,NA
0.171,NA
0.685,NA
0.343,NA
0.242,NA
0.383,NA
0.171,NA
0,NA
0.242,NA
0.707,NA
2.063,NA
1.58,NA
0.171,NA
0.171,NA
0.242,NA
0.242,NA
0,NA
8.485,NA
3.084,NA
2.399,NA
2.621,NA
1.552,NA
2.405,NA
4.184,NA
6.136,NA
1.382,NA
1.714,NA
1.042,NA
4.727,NA
4.727,NA
5.901,NA
1.382,NA
1.552,NA
0.707,NA
0.383,NA
3.051,NA
2.682,NA
0.999,NA
0.242,NA
1.042,NA
0.685,NA
0.618,NA
0,NA
0,NA
0,NA
0.383,NA
2.12,NA
0.707,NA
0.242,NA
1.714,NA
1.084,NA
2.423,NA
2.286,NA
0.171,NA
0.542,NA
4.614,NA
0.343,NA
7.862,NA
0.242,NA
3.603,NA
0.242,NA
0,NA
0.171,NA
0.171,NA
0.707,NA
0.542,NA
0.857,NA
0.383,NA
2.913,NA
0.242,NA
0.514,NA
0.343,NA
0,NA
0.383,NA
0.171,NA
0,NA
3.274,NA
0.383,NA
0.343,NA
0.343,NA
8.833,NA
0.242,NA
2.763,NA
0.171,NA
0.171,NA
0,NA
0,NA
0.343,NA
0.514,NA
1.042,NA
0.353,NA
0.242,NA
0.086,NA
2.405,NA
0,NA
0,NA
0.171,NA
0.171,NA
0.383,NA
0.383,NA
2.453,NA
0.242,NA
0.171,NA
0.343,NA
0.121,NA
0.171,NA
0.086,NA
0.171,NA
0.171,NA
0.171,NA
1.542,NA
4.524,NA
0,NA
0.514,NA
0.171,NA
0.271,NA
0.171,NA
0.542,NA
0.343,NA
0.171,NA
0.343,NA
1.542,NA
0.343,NA
1.212,NA
1.382,NA
0.874,NA
0.171,NA
2.399,NA
0.685,NA
1.248,NA
2.234,NA
1.714,NA
0.542,NA
0.542,NA
0,NA
6.228,NA
6.377,NA
1.212,NA
7.759,NA
0.242,NA
0.343,NA
3.103,NA
0.383,NA
4.981,NA
1.028,NA
3.851,NA
0.707,NA
0,NA
0.383,NA
1.58,NA
1.2,NA
0.171,NA
0.514,NA
0.857,NA
0.383,NA
1.371,NA
2.063,NA
0.514,NA
4.241,NA
0.242,NA
0.999,NA
1.714,NA
3.635,NA
2.423,NA
3.785,NA
4.298,NA
3.908,NA
0.383,NA
2.12,NA
3.201,NA
0.999,NA
0.857,NA
0.766,NA
0.383,NA
1.236,NA
1.822,NA
0.383,NA
0.383,NA
5.411,NA
0.171,NA
0.343,NA
0.343,NA
0.857,NA
0.242,NA
0.857,NA
0.999,NA
0.861,NA
0.171,NA
0.857,NA
0.343,NA
1.097,NA
2.495,NA
0.542,NA
1.248,NA
0.171,NA
7.274,NA
0,NA
0,NA
0.685,NA
0,NA
0.171,NA
0.171,NA
0,NA
0.171,NA
0.171,NA
0.542,NA
0.542,NA
0.514,NA
0.242,NA
0.171,NA
0,NA
0.343,NA
0.171,NA
0.171,NA
0,NA
0.171,NA
0.171,NA
0.171,NA
0.242,NA
0,NA
0.542,NA
7.205,NA
7.434,NA
0,NA
0.171,NA
0,NA
0.171,NA
0.343,NA
0,NA
0.343,NA
0.171,NA
0.171,NA
0.343,NA
0,NA
0.343,NA
0.242,NA
0.171,NA
0,NA
0,NA
0.171,NA
0.242,NA
0.171,NA
0.171,NA
0.343,NA
6.992,NA
0.171,NA
0.542,NA
5.331,NA
0.923,NA
1.464,NA
0.874,NA
1.212,NA
0.242,NA
0.685,NA
1.893,NA
0.542,NA
0.707,NA
0.542,NA
2.056,NA
2.228,NA
0.383,NA
0.514,NA
0.171,NA
0.171,NA
0.171,NA
0.171,NA
0.242,NA
0.242,NA
0.542,NA
0.242,NA
0.383,NA
0.343,NA
0.383,NA
0.242,NA
0,NA
0.086,NA
0.171,NA
0.171,NA
0.343,NA
0.242,NA
0.242,NA
2.405,NA
2.234,NA
9.126,NA
3.103,NA
8.528,NA
0.171,NA
0,NA
0,NA
6.683,NA
7.37,NA
0.171,NA
0.685,NA
0.171,NA
0.343,NA
0.383,NA
0.685,NA
1.042,NA
0.383,NA
0.171,NA
0,NA
0.242,NA
8.243,NA
8.083,NA
9.106,NA
9.109,NA
0.874,NA
2.918,NA
2.918,NA
1.58,NA
0.514,NA
2.305,NA
2.413,NA
3.032,NA
7.392,NA
2.228,NA
2.827,NA
0.171,NA
0.171,NA
0,NA
0.383,NA
0.383,NA
0,NA
0.171,NA
0.171,NA
0.171,NA
0,NA
0.343,NA
0.343,NA
0,NA
0,NA
0,NA
0,NA
0.171,NA
0.242,NA
0.343,NA
0,NA
1.552,NA
0.685,NA
1.248,NA
0.857,NA
0.766,NA
0.242,NA
0.485,NA
0.874,NA
0.343,NA
1.2,NA
0.485,NA
0.923,NA
0.171,NA
0.542,NA
0.171,NA
0,NA
0.857,NA
0.383,NA
0.343,NA
1.028,NA
0.171,NA
0.171,NA
0.171,NA
0.171,NA
0.857,NA
0.874,NA
0.343,NA
0.383,NA
0.242,NA
0.242,NA
0.343,NA
1.382,NA
0,NA
0.171,NA
0.171,NA
0.171,NA
0.343,NA
0.171,NA
0.171,NA
0,NA
1.212,NA
0.685,NA
0.171,NA
0.171,NA
0.343,NA
0.542,NA
0.171,NA
0.874,NA
0.857,NA
0.171,NA
0,NA
0,NA
1.382,NA
2.056,NA
2.405,NA
0.242,NA
0.171,NA
0.343,NA
0.343,NA
0.242,NA
0.383,NA
0.171,NA
0,NA
0.343,NA
0.514,NA
0.171,NA
0.171,NA
0.171,NA
0.171,NA
0.171,NA
0.343,NA
